,YEAR,PLAYER,PLAYER HH,DIFF,REAL VALUE,SALARY,Games played,,
John Collins 2018-19,2018-19,John Collins,John Collins,"$12,721,475","$15,020,555","$2,299,080",61,U,ATL
Kevin Durant 2011-12,2011-12,Kevin Durant,Kevin Durant,"$12,717,822","$28,224,454","$15,506,632",86,U,OKC
Tim Duncan 2002-03,2002-03,Tim Duncan,Tim Duncan,"$12,579,385","$24,651,885","$12,072,500",105,U,SAS
Deron Williams 2008-09,2008-09,Deron Williams,Deron Williams,"$12,558,303","$17,627,752","$5,069,449",73,U,UTA
Russell Westbrook 2015-16,2015-16,Russell Westbrook,Russell Westbrook,"$12,509,888","$29,254,106","$16,744,218",98,U,OKC
Giannis Antetokounmpo 2020-21,2020-21,Giannis Antetokounmpo,Giannis Antetokounmpo,"$12,507,690","$40,035,778","$27,528,088",82,U,MIL
CJ McCollum 2016-17,2016-17,CJ McCollum,CJ McCollum,"$12,480,266","$15,699,845","$3,219,579",84,U,POR
Dirk Nowitzki 2005-06,2005-06,Dirk Nowitzki,Dirk Nowitzki,"$12,479,356","$26,322,512","$13,843,156",104,U,DAL
Damian Lillard 2014-15,2014-15,Damian Lillard,Damian Lillard,"$12,462,575","$15,803,495","$3,340,920",87,U,POR
Shawn Marion 2002-03,2002-03,Shawn Marion,Shawn Marion,"$12,440,132","$14,705,507","$2,265,375",87,U,PHX
Dirk Nowitzki 2000-01,2000-01,Dirk Nowitzki,Dirk Nowitzki,"$12,436,493","$14,130,053","$1,693,560",92,U,DAL
Carmelo Anthony 2006-07,2006-07,Carmelo Anthony,Carmelo Anthony,"$12,430,010","$17,124,051","$4,694,041",70,U,DEN
Josh Howard 2006-07,2006-07,Josh Howard,Josh Howard,"$12,321,565","$13,989,168","$1,667,603",76,U,DAL
Tim Duncan 2001-02,2001-02,Tim Duncan,Tim Duncan,"$12,301,207","$23,166,457","$10,865,250",91,U,SAS
De'Aaron Fox 2019-20,2019-20,De'Aaron Fox,De'Aaron Fox,"$12,286,033","$18,678,793","$6,392,760",51,U,SAC
