,YEAR,PLAYER,PLAYER HH,DIFF,REAL VALUE,SALARY,Games played,,
Matt Bullard 2000-01,2000-01,Matt Bullard,Matt Bullard,"-$532,013","$1,567,987","$2,100,000",61,O,HOU
Ronald Dupree 2006-07,2006-07,Ronald Dupree,Ronald Dupree,"-$532,465","$238,866","$771,331",19,O,DET
Thabo Sefolosha 2014-15,2014-15,Thabo Sefolosha,Thabo Sefolosha,"-$532,952","$3,467,048","$4,000,000",52,O,ATL
Sasha Vujacic 2016-17,2016-17,Sasha Vujacic,Sasha Vujacic,"-$533,108","$877,490","$1,410,598",42,O,NYK
Dave Jamerson 1990-91,1990-91,Dave Jamerson,Dave Jamerson,"-$533,300","$116,700","$650,000",39,O,HOU
Rick Mahorn 1993-94,1993-94,Rick Mahorn,Rick Mahorn,"-$533,342","$116,658","$650,000",31,O,BKN
Meyers Leonard 2012-13,2012-13,Meyers Leonard,Meyers Leonard,"-$533,584","$1,592,936","$2,126,520",69,O,POR
Thurl Bailey 1992-93,1992-93,Thurl Bailey,Thurl Bailey,"-$533,731","$466,269","$1,000,000",70,O,MIN
T.J. Leaf 2018-19,2018-19,T.J. Leaf,TJ Leaf,"-$533,939","$1,873,621","$2,407,560",59,O,IND
Devean George 2008-09,2008-09,Devean George,Devean George,"-$534,026","$1,065,974","$1,600,000",43,O,DAL
Tyrone Hill 1991-92,1991-92,Tyrone Hill,Tyrone Hill,"-$534,144","$665,856","$1,200,000",86,O,GSW
Ken Norman 1994-95,1994-95,Ken Norman,Ken Norman,"-$534,178","$1,428,822","$1,963,000",77,O,ATL
Derek Strong 1995-96,1995-96,Derek Strong,Derek Strong,"-$534,375","$465,625","$1,000,000",63,O,LAL
Chimezie Metu 2018-19,2018-19,Chimezie Metu,Chimezie Metu,"-$534,624","$303,840","$838,464",29,O,SAS
Ansu Sesay 1999-00,1999-00,Ansu Sesay,,"-$535,000",$0,"$535,000",0,O,
Tim James 2000-01,2000-01,Tim James,Tim James,"-$535,422","$247,698","$783,120",30,O,CHA
Lucious Harris 1999-00,1999-00,Lucious Harris,Lucious Harris,"-$535,730","$1,384,270","$1,920,000",77,O,BKN
Mark Aguirre 1993-94,1993-94,Mark Aguirre,Mark Aguirre,"-$535,794","$1,085,206","$1,621,000",39,O,LAC
Malik Allen 2005-06,2005-06,Malik Allen,Malik Allen,"-$536,355","$1,133,645","$1,670,000",60,O,CHI
Diamond Stone 2016-17,2016-17,Diamond Stone,Diamond Stone,"-$537,478","$5,993","$543,471",7,O,LAC
Austin Daye 2014-15,2014-15,Austin Daye,Austin Daye,"-$537,514","$726,036","$1,263,550",34,O,"ATL, SAS"
Qyntel Woods 2002-03,2002-03,Qyntel Woods,Qyntel Woods,"-$538,422","$441,858","$980,280",57,O,POR
Randolph Morris 2007-08,2007-08,Randolph Morris,Randolph Morris,"-$538,716","$271,284","$810,000",18,O,NYK
Nikoloz Tskitishvili 2005-06,2005-06,Nikoloz Tskitishvili,Nikoloz Tskitishvili,"-$539,262","$205,986","$745,248",21,O,"MIN, PHX"
Dan Majerle 1998-99,1998-99,Dan Majerle,Dan Majerle,"-$539,564","$2,750,436","$3,290,000",53,O,MIA
Casey Jacobsen 2007-08,2007-08,Casey Jacobsen,Casey Jacobsen,"-$539,943","$286,326","$826,269",53,O,MEM
Donny Marshall 1997-98,1997-98,Donny Marshall,,"-$540,000",$0,"$540,000",0,O,
Chris Dudley 1997-98,1997-98,Chris Dudley,Chris Dudley,"-$540,422","$594,578","$1,135,000",57,O,NYK
Rich King 1992-93,1992-93,Rich King,Rich King,"-$540,634","$59,366","$600,000",3,O,OKC
Jerome Lane 1991-92,1991-92,Jerome Lane,Jerome Lane,"-$541,226","$98,774","$640,000",14,O,"DEN, IND, MIL"
Carl Herrera 1993-94,1993-94,Carl Herrera,Carl Herrera,"-$542,002","$457,998","$1,000,000",91,O,HOU
Travis Mays 1991-92,1991-92,Travis Mays,Travis Mays,"-$542,374","$457,626","$1,000,000",2,O,ATL
Adrian Griffin 2003-04,2003-04,Adrian Griffin,Adrian Griffin,"-$542,996","$208,183","$751,179",19,O,HOU
Kevin Murphy 2012-13,2012-13,Kevin Murphy,Kevin Murphy,"-$543,056","-$69,452","$473,604",17,O,UTA
Rik Smits 1996-97,1996-97,Rik Smits,Rik Smits,"-$543,161","$3,456,839","$4,000,000",52,O,IND
Shannon Brown 2006-07,2006-07,Shannon Brown,Shannon Brown,"-$543,263","$428,017","$971,280",24,O,CLE
Greg Anderson 1991-92,1991-92,Greg Anderson,Greg Anderson,"-$543,854","$921,146","$1,465,000",82,O,DEN
Russ Smith 2015-16,2015-16,Russ Smith,Russ Smith,"-$544,170","$300,889","$845,059",15,O,MEM
Andy Rautins 2010-11,2010-11,Andy Rautins,Andy Rautins,"-$544,234","$55,766","$600,000",5,O,NYK
Eddie Griffin 2005-06,2005-06,Eddie Griffin,Eddie Griffin,"-$544,568","$1,955,432","$2,500,000",70,O,MIN
Michael Smith (1972) 1998-99,1998-99,Michael Smith (1972),Michael Smith (1972),"-$544,758","$1,635,242","$2,180,000",48,O,MEM
Ernest Brown 2001-02,2001-02,Ernest Brown,Ernest Brown,"-$544,986","-$212,169","$332,817",3,O,MIA
Quincy Lewis 1999-00,1999-00,Quincy Lewis,Quincy Lewis,"-$545,277","$385,443","$930,720",82,O,UTA
Ruben Wolkowyski 2001-02,2001-02,Ruben Wolkowyski,,"-$545,385",$0,"$545,385",0,O,
Dell Curry 1999-00,1999-00,Dell Curry,Dell Curry,"-$545,480","$1,554,520","$2,100,000",70,O,TOR
Erick Dampier 2011-12,2011-12,Erick Dampier,Erick Dampier,"-$545,563","$304,959","$850,522",19,O,ATL
Jayson Williams 1993-94,1993-94,Jayson Williams,Jayson Williams,"-$547,422","$402,578","$950,000",72,O,BKN
Kevin Brooks 1991-92,1991-92,Kevin Brooks,Kevin Brooks,"-$547,765","$77,235","$625,000",37,O,DEN
Michael Smith (1972) 1997-98,1997-98,Michael Smith (1972),Michael Smith (1972),"-$547,806","$1,372,194","$1,920,000",48,O,"MEM, SAC"
Jeff Ayres 2013-14,2013-14,Jeff Ayres,Jeff Ayres,"-$547,923","$1,202,077","$1,750,000",90,O,SAS
Perry Jones III 2012-13,2012-13,Perry Jones III,Perry Jones,"-$547,953","$488,007","$1,035,960",39,O,OKC
Kareem Rush 2002-03,2002-03,Kareem Rush,Kareem Rush,"-$548,440","$472,640","$1,021,080",85,O,LAL
Vladimir Stepania 1999-00,1999-00,Vladimir Stepania,Vladimir Stepania,"-$548,519","$151,801","$700,320",30,O,OKC
Bruno Sundov 2002-03,2002-03,Bruno Sundov,Bruno Sundov,"-$548,960","$88,475","$637,435",26,O,BOS
Bernard James 2013-14,2013-14,Bernard James,Bernard James,"-$549,455","$239,417","$788,872",32,O,DAL
Anthony Parker 1999-00,1999-00,Anthony Parker,Anthony Parker,"-$549,772","$430,508","$980,280",16,O,ORL
Mark Alarie 1991-92,1991-92,Mark Alarie,,"-$550,000",$0,"$550,000",0,O,
John Bagley 1990-91,1990-91,John Bagley,,"-$550,000",$0,"$550,000",0,O,
Greg Kite 1995-96,1995-96,Greg Kite,,"-$550,000",$0,"$550,000",0,O,
Eric Washington 1999-00,1999-00,Eric Washington,,"-$550,000",$0,"$550,000",0,O,
Dwayne Schintzius 1999-00,1999-00,Dwayne Schintzius,,"-$550,000",$0,"$550,000",0,O,
Kris Humphries 2006-07,2006-07,Kris Humphries,Kris Humphries,"-$550,025","$1,153,495","$1,703,520",66,O,TOR
Hilton Armstrong 2010-11,2010-11,Hilton Armstrong,Hilton Armstrong,"-$550,509","$442,171","$992,680",61,O,"ATL, WAS"
Stojko Vrankovic 1991-92,1991-92,Stojko Vrankovic,Stojko Vrankovic,"-$550,723","$114,277","$665,000",20,O,BOS
Jeff Trepagnier 2003-04,2003-04,Jeff Trepagnier,Jeff Trepagnier,"-$550,802","$87,877","$638,679",11,O,DEN
Alec Kessler 1992-93,1992-93,Alec Kessler,Alec Kessler,"-$551,088","$210,912","$762,000",40,O,MIA
Joel Przybilla 2011-12,2011-12,Joel Przybilla,Joel Przybilla,"-$551,542","$593,485","$1,145,027",27,O,POR
Alex Poythress 2017-18,2017-18,Alex Poythress,Alex Poythress,"-$552,755","$225,913","$778,668",25,O,IND
James Donaldson 1991-92,1991-92,James Donaldson,James Donaldson,"-$552,977","$327,023","$880,000",60,O,"DAL, NYK"
George McCloud 1991-92,1991-92,George McCloud,George McCloud,"-$553,138","$436,862","$990,000",53,O,IND
James Anderson 2010-11,2010-11,James Anderson,James Anderson,"-$553,612","$807,788","$1,361,400",26,O,SAS
Mario Bennett 1996-97,1996-97,Mario Bennett,,"-$555,000",$0,"$555,000",0,O,
Isaiah Joe 2021-22,2021-22,Isaiah Joe,Isaiah Joe,"-$555,132","$962,849","$1,517,981",62,O,PHI
Steven Hunter 2001-02,2001-02,Steven Hunter,Steven Hunter,"-$555,428","$689,452","$1,244,880",53,O,ORL
Ruben Wolkowyski 2002-03,2002-03,Ruben Wolkowyski,Ruben Wolkowyski,"-$555,477","$31,958","$587,435",7,O,BOS
Mark West 1997-98,1997-98,Mark West,Mark West,"-$555,491","$94,509","$650,000",19,O,IND
Andrew Lang 1993-94,1993-94,Andrew Lang,Andrew Lang,"-$555,492","$672,508","$1,228,000",93,O,ATL
Marcus Liberty 1993-94,1993-94,Marcus Liberty,Marcus Liberty,"-$556,055","$93,945","$650,000",38,O,"DEN, DET"
Sam Vincent 1991-92,1991-92,Sam Vincent,Sam Vincent,"-$556,359","$703,641","$1,260,000",39,O,ORL
Jamaal Magloire 2009-10,2009-10,Jamaal Magloire,Jamaal Magloire,"-$556,800","$672,425","$1,229,225",37,O,MIA
Tim McCormick 1990-91,1990-91,Tim McCormick,Tim McCormick,"-$557,649","$217,351","$775,000",58,O,ATL
Felton Spencer 2000-01,2000-01,Felton Spencer,Felton Spencer,"-$557,928","$442,072","$1,000,000",20,O,NYK
Derrick Coleman 1999-00,1999-00,Derrick Coleman,Derrick Coleman,"-$558,016","$6,811,984","$7,370,000",78,O,CHA
Derrick Williams 2015-16,2015-16,Derrick Williams,Derrick Williams,"-$558,157","$3,841,843","$4,400,000",80,O,NYK
Julyan Stone 2013-14,2013-14,Julyan Stone,Julyan Stone,"-$559,304","$324,989","$884,293",21,O,TOR
JaKarr Sampson 2020-21,2020-21,JaKarr Sampson,JaKarr Sampson,"-$559,340","$1,323,527","$1,882,867",30,O,IND
Hedo Turkoglu 2006-07,2006-07,Hedo Turkoglu,Hidayet Turkoglu,"-$559,703","$5,323,897","$5,883,600",77,O,ORL
Tony Smith 1994-95,1994-95,Tony Smith,Tony Smith,"-$559,716","$490,284","$1,050,000",67,O,LAL
Keith Askins 1998-99,1998-99,Keith Askins,Keith Askins,"-$560,499","$164,501","$725,000",37,O,MIA
Marvin Bagley III 2020-21,2020-21,Marvin Bagley III,Marvin Bagley,"-$560,568","$8,403,072","$8,963,640",43,O,SAC
Damien Wilkins 2017-18,2017-18,Damien Wilkins,Damien Wilkins,"-$561,096","$431,600","$992,696",19,O,IND
Andre Iguodala 2009-10,2009-10,Andre Iguodala,Andre Iguodala,"-$561,252","$11,638,748","$12,200,000",82,O,PHI
Shannon Brown 2007-08,2007-08,Shannon Brown,Shannon Brown,"-$561,679","$482,441","$1,044,120",21,O,"CHI, CLE"
Charlie Ward 1994-95,1994-95,Charlie Ward,Charlie Ward,"-$562,601","-$7,601","$555,000",10,O,NYK
Solomon Jones 2007-08,2007-08,Solomon Jones,Solomon Jones,"-$564,263","$164,737","$729,000",42,O,ATL
Patricio Garino 2016-17,2016-17,Patricio Garino,Patricio Garino,"-$564,427","-$432,459","$131,968",5,O,ORL
Nathan Jawai 2008-09,2008-09,Nathan Jawai,Nathan Jawai,"-$564,672","-$122,558","$442,114",6,O,TOR
Brad Sellers 1992-93,1992-93,Brad Sellers,Brad Sellers,"-$565,038","$134,962","$700,000",54,O,MIN
Ryan Hollins 2014-15,2014-15,Ryan Hollins,Ryan Hollins,"-$565,122","$745,164","$1,310,286",46,O,SAC
Terrance Roberson 2000-01,2000-01,Terrance Roberson,Terrance Roberson,"-$566,051","-$249,082","$316,969",3,O,CHA
Ryan Hollins 2013-14,2013-14,Ryan Hollins,Ryan Hollins,"-$566,232","$620,227","$1,186,459",66,O,LAC
Steven Hunter 2002-03,2002-03,Steven Hunter,Steven Hunter,"-$566,868","$771,372","$1,338,240",40,O,ORL
Vernon Carey Jr. 2021-22,2021-22,Vernon Carey Jr.,Vernon Carey,"-$567,126","$950,855","$1,517,981",7,O,"CHA, WAS"
Sam Mitchell 1999-00,1999-00,Sam Mitchell,Sam Mitchell,"-$567,739","$1,432,261","$2,000,000",70,O,MIN
Sam Bowie 1991-92,1991-92,Sam Bowie,Sam Bowie,"-$567,914","$1,432,086","$2,000,000",75,O,BKN
Andris Biedrins 2005-06,2005-06,Andris Biedrins,Andris Biedrins,"-$568,855","$1,288,505","$1,857,360",68,O,GSW
Ryan Humphrey 2004-05,2004-05,Ryan Humphrey,Ryan Humphrey,"-$569,042","$654,118","$1,223,160",35,O,MEM
Tony Wroten 2012-13,2012-13,Tony Wroten,Tony Wroten,"-$569,130","$540,990","$1,110,120",41,O,MEM
Anthony Cook 1992-93,1992-93,Anthony Cook,,"-$570,000",$0,"$570,000",0,O,
Brian Roberts 2014-15,2014-15,Brian Roberts,Brian Roberts,"-$570,555","$2,161,445","$2,732,000",72,O,CHA
Vitaly Potapenko 1996-97,1996-97,Vitaly Potapenko,Vitaly Potapenko,"-$570,693","$497,307","$1,068,000",80,O,CLE
Kiki Vandeweghe 1991-92,1991-92,Kiki Vandeweghe,Kiki Vandeweghe,"-$570,818","$449,182","$1,020,000",75,O,NYK
Chris Duhon 2007-08,2007-08,Chris Duhon,Chris Duhon,"-$570,994","$2,677,006","$3,248,000",66,O,CHI
Justin Hamilton 2016-17,2016-17,Justin Hamilton,Justin Hamilton,"-$570,996","$2,429,004","$3,000,000",64,O,BKN
Jahlil Okafor 2016-17,2016-17,Jahlil Okafor,Jahlil Okafor,"-$571,008","$4,217,832","$4,788,840",50,O,PHI
Malcolm Delaney 2016-17,2016-17,Malcolm Delaney,Malcolm Delaney,"-$571,286","$1,928,714","$2,500,000",74,O,ATL
Randy Brown 1997-98,1997-98,Randy Brown,Randy Brown,"-$571,309","$688,691","$1,260,000",85,O,CHI
Cameron Payne 2021-22,2021-22,Cameron Payne,Cameron Payne,"-$571,362","$5,928,638","$6,500,000",71,O,PHX
Reggie Bullock 2013-14,2013-14,Reggie Bullock,Reggie Bullock,"-$571,636","$577,364","$1,149,000",45,O,LAC
Abdel Nader 2017-18,2017-18,Abdel Nader,Abdel Nader,"-$572,449","$594,884","$1,167,333",59,O,BOS
Olden Polynice 1999-00,1999-00,Olden Polynice,Olden Polynice,"-$572,691","$1,427,309","$2,000,000",92,O,UTA
Larry Sanders 2010-11,2010-11,Larry Sanders,Larry Sanders,"-$572,915","$1,159,045","$1,731,960",60,O,MIL
John Paxson 1993-94,1993-94,John Paxson,John Paxson,"-$572,984","$227,016","$800,000",36,O,CHI
Brent Barry 2008-09,2008-09,Brent Barry,Brent Barry,"-$573,147","$1,336,853","$1,910,000",60,O,HOU
Sean Rooks 1995-96,1995-96,Sean Rooks,Sean Rooks,"-$573,595","$626,405","$1,200,000",75,O,"ATL, MIN"
Isaiah Rider 1996-97,1996-97,Isaiah Rider,Isaiah Rider,"-$574,105","$3,035,895","$3,610,000",80,O,POR
Kevon Looney 2015-16,2015-16,Kevon Looney,Kevon Looney,"-$574,174","$557,786","$1,131,960",5,O,GSW
Jimmer Fredette 2011-12,2011-12,Jimmer Fredette,Jimmer Fredette,"-$574,617","$1,663,743","$2,238,360",61,O,SAC
DeAndre' Bembry 2016-17,2016-17,DeAndre' Bembry,DeAndre Bembry,"-$574,679","$925,081","$1,499,760",38,O,ATL
Blue Edwards 1997-98,1997-98,Blue Edwards,Blue Edwards,"-$574,706","$1,725,294","$2,300,000",81,O,MEM
Vlatko Cancar 2020-21,2020-21,Vlatko Cancar,Vlatko Cancar,"-$574,933","$943,048","$1,517,981",46,O,DEN
DJ Mbenga 2010-11,2010-11,DJ Mbenga,Didier Ilunga-Mbenga,"-$575,086","$494,423","$1,069,509",46,O,NOP
Malik Sealy 1993-94,1993-94,Malik Sealy,Malik Sealy,"-$575,412","$447,588","$1,023,000",43,O,IND
Chris Anstey 1998-99,1998-99,Chris Anstey,Chris Anstey,"-$575,560","$409,640","$985,200",41,O,DAL
Stacey Augmon 2005-06,2005-06,Stacey Augmon,Stacey Augmon,"-$575,574","$562,926","$1,138,500",36,O,ORL
Larry Robinson 2001-02,2001-02,Larry Robinson,Larry Robinson,"-$575,686","$140,164","$715,850",2,O,NYK
Isiah Thomas 1991-92,1991-92,Isiah Thomas,Isiah Thomas,"-$575,714","$2,384,286","$2,960,000",83,O,DET
Gerald Glass 1992-93,1992-93,Gerald Glass,Gerald Glass,"-$575,865","$327,135","$903,000",60,O,"DET, MIN"
Roger Powell 2006-07,2006-07,Roger Powell,Roger Powell,"-$576,299","-$163,581","$412,718",3,O,UTA
Jermaine O'Neal 1998-99,1998-99,Jermaine O'Neal,Jermaine O'Neal,"-$576,329","$498,671","$1,075,000",45,O,POR
Todd Day 1993-94,1993-94,Todd Day,Todd Day,"-$576,417","$1,146,583","$1,723,000",76,O,MIL
Stacey King 1995-96,1995-96,Stacey King,Stacey King,"-$576,422","$23,578","$600,000",16,O,MIA
John Battle 1992-93,1992-93,John Battle,John Battle,"-$576,592","$333,408","$910,000",42,O,CLE
Nicolas Batum 2013-14,2013-14,Nicolas Batum,Nicolas Batum,"-$576,807","$10,343,443","$10,920,250",93,O,POR
B.J. Armstrong 1994-95,1994-95,B.J. Armstrong,BJ Armstrong,"-$576,907","$2,223,093","$2,800,000",92,O,CHI
Darrell Walker 1992-93,1992-93,Darrell Walker,Darrell Walker,"-$577,486","$157,514","$735,000",46,O,"CHI, DET"
Hamed Haddadi 2011-12,2011-12,Hamed Haddadi,Hamed Haddadi,"-$577,504","$722,496","$1,300,000",39,O,MEM
Damian Jones 2016-17,2016-17,Damian Jones,Damian Jones,"-$577,574","$593,986","$1,171,560",14,O,GSW
Todd MacCulloch 2001-02,2001-02,Todd MacCulloch,Todd MacCulloch,"-$577,751","$3,960,249","$4,538,000",82,O,BKN
Dave Johnson 1993-94,1993-94,Dave Johnson,Dave Johnson,"-$577,884","$72,116","$650,000",17,O,CHI
Raul Lopez 2002-03,2002-03,Raul Lopez,,"-$578,160",$0,"$578,160",0,O,
Terry Davis 2000-01,2000-01,Terry Davis,Terry Davis,"-$578,451","$345,049","$923,500",19,O,DEN
Al-Farouq Aminu 2011-12,2011-12,Al-Farouq Aminu,Al-Farouq Aminu,"-$578,741","$2,176,819","$2,755,560",66,O,NOP
Brian Cardinal 2010-11,2010-11,Brian Cardinal,Brian Cardinal,"-$579,020","$773,161","$1,352,181",65,O,DAL
Mark Aguirre 1992-93,1992-93,Mark Aguirre,Mark Aguirre,"-$579,076","$771,924","$1,351,000",51,O,DET
Chuck Person 1990-91,1990-91,Chuck Person,Chuck Person,"-$579,160","$1,570,840","$2,150,000",85,O,IND
Isaiah Rider 1999-00,1999-00,Isaiah Rider,Isaiah Rider,"-$579,430","$4,830,570","$5,410,000",60,O,ATL
Steve Nash 1996-97,1996-97,Steve Nash,Steve Nash,"-$579,755","$336,245","$916,000",69,O,PHX
Mark Pope 1998-99,1998-99,Mark Pope,Mark Pope,"-$581,030","-$199,030","$382,000",4,O,IND
Jarron Collins 2010-11,2010-11,Jarron Collins,Jarron Collins,"-$581,162","$62,389","$643,551",28,O,"LAC, POR"
Santi Aldama 2021-22,2021-22,Santi Aldama,Santiago Aldama,"-$581,182","$1,413,338","$1,994,520",32,O,MEM
Thabo Sefolosha 2011-12,2011-12,Thabo Sefolosha,Thabo Sefolosha,"-$582,102","$2,717,898","$3,300,000",62,O,OKC
Rodney Rogers 2003-04,2003-04,Rodney Rogers,Rodney Rogers,"-$582,284","$2,493,316","$3,075,600",80,O,BKN
Patrick Ewing 2001-02,2001-02,Patrick Ewing,Patrick Ewing,"-$582,768","$1,535,652","$2,118,420",69,O,ORL
Justin Williams 2007-08,2007-08,Justin Williams,Justin Williams,"-$583,459","$278,997","$862,456",23,O,"HOU, SAC"
Omer Asik 2010-11,2010-11,Omer Asik,Omer Asik,"-$583,488","$1,137,512","$1,721,000",97,O,CHI
Jayson Williams 1994-95,1994-95,Jayson Williams,Jayson Williams,"-$583,518","$516,482","$1,100,000",75,O,BKN
Adam Keefe 1995-96,1995-96,Adam Keefe,Adam Keefe,"-$583,705","$1,066,295","$1,650,000",99,O,UTA
Joe Wolf 1991-92,1991-92,Joe Wolf,Joe Wolf,"-$584,527","$178,473","$763,000",67,O,DEN
Georges Niang 2016-17,2016-17,Georges Niang,Georges Niang,"-$584,803","$65,197","$650,000",23,O,IND
Glen Rice Jr. 2014-15,2014-15,Glen Rice Jr.,Glen Rice Jr,"-$584,939","-$114,262","$470,677",5,O,WAS
Lafayette Lever 1991-92,1991-92,Lafayette Lever,Fat Lever,"-$585,850","$1,033,150","$1,619,000",31,O,DAL
Marc Gasol 2014-15,2014-15,Marc Gasol,Marc Gasol,"-$585,890","$15,243,798","$15,829,688",92,O,MEM
Jordan Hill 2011-12,2011-12,Jordan Hill,Jordan Hill,"-$586,000","$2,269,760","$2,855,760",51,O,"HOU, LAL"
Greg Graham 1994-95,1994-95,Greg Graham,Greg Graham,"-$586,181","$323,819","$910,000",50,O,PHI
Sasha Pavlovic 2012-13,2012-13,Sasha Pavlovic,Aleksandar Pavlovic,"-$586,228","$646,485","$1,232,713",39,O,POR
Erick Dampier 1996-97,1996-97,Erick Dampier,Erick Dampier,"-$586,282","$597,718","$1,184,000",72,O,IND
Labradford Smith 1993-94,1993-94,Labradford Smith,Labradford Smith,"-$587,181","$352,819","$940,000",66,O,"SAC, WAS"
Amir Johnson 2018-19,2018-19,Amir Johnson,Amir Johnson,"-$587,634","$1,806,253","$2,393,887",55,O,PHI
Willie Green 2008-09,2008-09,Willie Green,Willie Green,"-$588,273","$2,799,727","$3,388,000",87,O,PHI
Tim Perry 1993-94,1993-94,Tim Perry,Tim Perry,"-$588,283","$961,717","$1,550,000",80,O,PHI
Sun Sun 2008-09,2008-09,Sun Sun,Sun Yue,"-$588,621","-$146,507","$442,114",10,O,LAL
Scott Padgett 2005-06,2005-06,Scott Padgett,Scott Padgett,"-$588,649","$1,081,351","$1,670,000",65,O,BKN
Amal McCaskill 2002-03,2002-03,Amal McCaskill,Amal McCaskill,"-$588,694","$254,518","$843,212",11,O,ATL
Quincy Lewis 2001-02,2001-02,Quincy Lewis,Quincy Lewis,"-$589,911","$480,369","$1,070,280",40,O,UTA
Grant Long 1999-00,1999-00,Grant Long,Grant Long,"-$590,140","$1,409,860","$2,000,000",42,O,MEM
Andrew Lang 1992-93,1992-93,Andrew Lang,Andrew Lang,"-$590,762","$449,238","$1,040,000",73,O,PHI
Rick Mahorn 1990-91,1990-91,Rick Mahorn,Rick Mahorn,"-$590,983","$739,017","$1,330,000",88,O,PHI
Anthony Avent 1995-96,1995-96,Anthony Avent,Anthony Avent,"-$592,647","$357,353","$950,000",71,O,MEM
Terry Porter 1993-94,1993-94,Terry Porter,Terry Porter,"-$592,836","$1,907,164","$2,500,000",81,O,POR
Luke Babbitt 2011-12,2011-12,Luke Babbitt,Luke Babbitt,"-$594,221","$1,174,579","$1,768,800",40,O,POR
Jannero Pargo 2014-15,2014-15,Jannero Pargo,Jannero Pargo,"-$594,222","$854,268","$1,448,490",9,O,CHA
Jayson Williams 1992-93,1992-93,Jayson Williams,Jayson Williams,"-$594,441","$205,559","$800,000",12,O,BKN
Rasheed Wallace 2005-06,2005-06,Rasheed Wallace,Rasheed Wallace,"-$595,259","$10,264,741","$10,860,000",98,O,DET
Kyle Korver 2016-17,2016-17,Kyle Korver,Kyle Korver,"-$595,688","$4,643,749","$5,239,437",85,O,"ATL, CLE"
Sean Marks 2003-04,2003-04,Sean Marks,,"-$596,295",$0,"$596,295",0,O,
David Wingate 1999-00,1999-00,David Wingate,David Wingate,"-$596,711","-$86,711","$510,000",7,O,NYK
Malik Allen 2008-09,2008-09,Malik Allen,Malik Allen,"-$597,105","$702,895","$1,300,000",49,O,MIL
Gerald Madkins 1994-95,1994-95,Gerald Madkins,Gerald Madkins,"-$597,423","$17,577","$615,000",7,O,CLE
Roger Mason Jr. 2010-11,2010-11,Roger Mason Jr.,Roger Mason,"-$597,470","$802,530","$1,400,000",29,O,NYK
Eric Moreland 2015-16,2015-16,Eric Moreland,Eric Moreland,"-$597,910","$247,149","$845,059",8,O,SAC
Brooks Thompson 1996-97,1996-97,Brooks Thompson,Brooks Thompson,"-$598,344","$733,956","$1,332,300",67,O,"DEN, UTA"
Devin Ebanks 2012-13,2012-13,Devin Ebanks,Devin Ebanks,"-$599,127","$440,873","$1,040,000",19,O,LAL
Derek Harper 1992-93,1992-93,Derek Harper,Derek Harper,"-$599,351","$1,469,649","$2,069,000",62,O,DAL
Stacey King 1991-92,1991-92,Stacey King,Stacey King,"-$599,548","$500,452","$1,100,000",93,O,CHI
Pavel Podkolzin 2006-07,2006-07,Pavel Podkolzin,,"-$600,000",$0,"$600,000",0,O,
Larry Drew 1991-92,1991-92,Larry Drew,,"-$600,000",$0,"$600,000",0,O,
Kevin Brooks 1994-95,1994-95,Kevin Brooks,,"-$600,000",$0,"$600,000",0,O,
Bob Hansen 1992-93,1992-93,Bob Hansen,,"-$600,000",$0,"$600,000",0,O,
Corie Blount 1997-98,1997-98,Corie Blount,Corie Blount,"-$600,454","$829,546","$1,430,000",82,O,LAL
Jarron Collins 2004-05,2004-05,Jarron Collins,Jarron Collins,"-$600,632","$1,099,368","$1,700,000",50,O,UTA
Damjan Rudez 2016-17,2016-17,Damjan Rudez,Damjan Rudez,"-$600,943","$379,488","$980,431",45,O,ORL
Joe Kleine 1998-99,1998-99,Joe Kleine,Joe Kleine,"-$601,618","$398,382","$1,000,000",32,O,PHX
Tom Hammonds 1992-93,1992-93,Tom Hammonds,Tom Hammonds,"-$601,647","$248,353","$850,000",54,O,"CHA, DEN"
Ben Bentil 2016-17,2016-17,Ben Bentil,Ben Bentil,"-$601,795","-$319,827","$281,968",3,O,DAL
Rich King 1993-94,1993-94,Rich King,Rich King,"-$602,265","$97,735","$700,000",26,O,OKC
Greg Dreiling 1992-93,1992-93,Greg Dreiling,Greg Dreiling,"-$602,396","$47,604","$650,000",45,O,IND
Rex Walters 1999-00,1999-00,Rex Walters,Rex Walters,"-$602,529","$497,471","$1,100,000",33,O,MIA
Henry Ellenson 2017-18,2017-18,Henry Ellenson,Henry Ellenson,"-$602,637","$1,178,163","$1,780,800",38,O,DET
Iman Shumpert 2020-21,2020-21,Iman Shumpert,Iman Shumpert,"-$602,678","$200,366","$803,044",2,O,BKN
Tom Hammonds 1990-91,1990-91,Tom Hammonds,Tom Hammonds,"-$602,999","$197,001","$800,000",70,O,WAS
Herb Williams 1996-97,1996-97,Herb Williams,Herb Williams,"-$603,182","$153,818","$757,000",24,O,NYK
Larry Krystkowiak 1990-91,1990-91,Larry Krystkowiak,Larry Krystkowiak,"-$603,568","$1,432","$605,000",3,O,
Zoran Planinic 2005-06,2005-06,Zoran Planinic,Zoran Planinic,"-$603,632","$523,648","$1,127,280",59,O,BKN
Zhou Qi 2017-18,2017-18,Zhou Qi,Zhou Qi,"-$604,533","$211,082","$815,615",21,O,HOU
Gani Lawal 2010-11,2010-11,Gani Lawal,Gani Lawal,"-$604,687","-$131,047","$473,640",1,O,PHX
Dell Curry 2000-01,2000-01,Dell Curry,Dell Curry,"-$605,026","$1,394,974","$2,000,000",83,O,TOR
